# Unit Display Names
# Generated by: node docs/tools/generateUnitNames.js
# Generated at: 2025-12-18T15:37:09.249Z
# Total units: 161

# Format: DISPLAY_NAME | id | points | type | faction
# ═══════════════════════════════════════════════════════════════════════


# ─── Atom Barons of Santagria ───
“EXTO” | exto | 25 pts | LOGISTICS CRAWLER | atom_barons
“HEXAMER” | hexamer | 10 pts | TRACTOR TANK | atom_barons
“VAUBAN” | vauban | 60 pts | LAND FRIGATE | atom_barons
ATOMIC PILGRIMS | atomic_pilgrims | 60 pts | NUCLEAR WEAPONS TEAM | atom_barons
BLACK FANGS | black_fangs | 20 pts | COMMANDO TEAM | atom_barons
BOMBARD TEAM | bombard_team | 15 pts | SUPPRESSION TEAM | atom_barons
CB.61 “GALGO” | cb_61_galgo | 15 pts | AIRMOBILE ARMORED CAR | atom_barons
CB.76 “MISÉRICORDE” | cb_76_mis_ricorde | 15 pts | AIRMOBILE ASSAULT GUN | atom_barons
COMMONWEALTH RIFLES | commonwealth_rifles | 10 pts | LINE SQUAD | atom_barons
DC.4E “BAVIECA” | dc_4e_bavieca | 40 pts | UNKNOWN | atom_barons
DC/B.2K “JONQUIL” | dc_b_2k_jonquil | 30 pts | UNKNOWN | atom_barons
FIELD GUN | field_gun | 10 pts | TOWED ANTI-TANK GUN | atom_barons
GRENADIER TEAM | grenadier_team | 10 pts | SHOCK TEAM | atom_barons
GROUNDSMEN | groundsmen | 10 pts | SNIPER TEAM | atom_barons
LDAL “PIETRO” | ldal_pietro | 10 pts | LANDING CRAFT | atom_barons
LIGHT GUN TEAM | light_gun_team | 5 pts | ANTI-TANK TEAM | atom_barons
MACHINE GUN TEAM | machine_gun_team_abs | 10 pts | ANTI-PERSONNEL TEAM | atom_barons
MC.17-86 “SPADA-FRESCO” | mc_17_86_spada_fresco | 20 pts | FIGHTER-BOMBER | atom_barons
MC.20-01C “ROCINANTE” | mc_20_01c_rocinante | 30 pts | UNKNOWN | atom_barons
MOUNTED SERJEANTS | mounted_serjeants | 10 pts | CAVALRY TROOP | atom_barons
OSM “MOGUL” | osm_mogul | 40 pts | SELF-PROPELLED SIEGE GUN | atom_barons
PAGES | pages | 10 pts | FORWARD AIR CONTROL TEAM | atom_barons
PEG.123-00 “KNIGHT-ERRANT” | peg_123_00_knight_errant | 30 pts | SCOUT ATTACK HELICOPTER | atom_barons
PEG.123-AC “GRAF” | peg_123_ac_graf | 0 pts | COMMAND HELICOPTER | atom_barons
PEG.60-11 “SQUIRE” | peg_60_11_squire | 20 pts | UTILITY HELICOPTER | atom_barons
PEG.80-01A “SAMBUCA” | peg_80_01a_sambuca | 25 pts | HEAVY LIFT HELICOPTER | atom_barons
SANTAGRINE MILITIA | santagrine_militia | 5 pts | MILITIA SQUAD | atom_barons
SB.15 1-LBER “POM-POM” | sb_15_1_lber_pom_pom | 10 pts | TOWED ANTI-AIR GUN | atom_barons
SB.18 22-LBER “RETUMBO” | sb_18_22_lber_retumbo | 20 pts | TOWED ANTI-AIRCRAFT GUN | atom_barons
STEAM TRACTOR | steam_tractor | 5 pts | PRIME MOVER | atom_barons
TENANT OFFICER | tenant_officer | 0 pts | COMMAND TEAM | atom_barons
UNI.28-03 “MAN-AT-ARMS” | uni_28_03_man_at_arms | 50 pts | ATTACK GUNSHIP | atom_barons
UNI.28-05 “CONQUISTADOR” | uni_28_05_conquistador | 40 pts | JALOPY GUNSHIP | atom_barons
UNI.28-08 “LANCER” | uni_28_08_lancer | 60 pts | ANTI-TANK GUNSHIP | atom_barons
UNI.28-AC “DON” | uni_28_ac_don | 25 pts | COMMAND GUNSHIP | atom_barons
VBD.127-DB “CASTELLAN” | vbd_127_db_castellan | 40 pts | COMMAND MAIN BATTLE TANK | atom_barons
VC.2 “VELDJEN” | vc_2_veldjen | 20 pts | MEDIUM TANK | atom_barons
VC.4 “JAVELINA” | vc_4_javelina | 30 pts | MAIN BATTLE TANK | atom_barons
VC.44R “WHIRLWIND” | vc_44r_whirlwind | 35 pts | MAIN BATTLE TANK | atom_barons
VE.378 “CATAPHRACT” | ve_378_cataphract | 40 pts | HEAVY TANK | atom_barons
VOLLEY TEAM | volley_team | 5 pts | ANTI-TANK TEAM | atom_barons
WAR WAGON | war_wagon | 5 pts | TOWED PERSONNEL CARRIER | atom_barons
YEOMAN PARAS | yeoman_paras | 15 pts | PARATROOPER SQUAD | atom_barons

# ─── Army of the Ebon Forest ───
AD-48 “FALCONET” | ad_48_falconet | 20 pts | LIGHT ATTACK AIRCRAFT | ebon_forest
AD-IV “GROGNARD” | ad_iv_grognard | 40 pts | FIGHTER-BOMBER | ebon_forest
AES514 “BACKBONE” | aes514_backbone | 20 pts | HEAVY LIFT HELICOPTER | ebon_forest
AES805 “TORNADO” | aes805_tornado | 30 pts | ATTACK HELICOPTER | ebon_forest
BOUNDERS | bounders | 20 pts | ANTI-MATERIEL/SNIPER TEAM | ebon_forest
CdA-25 “SAUCER” | cda_25_saucer | 20 pts | UNKNOWN | ebon_forest
CdA-36 “BROOMCLOUD” | cda_36_broomcloud | 25 pts | SELF-PROPELLED ANTI-AIR GUN | ebon_forest
CdS-F1 “KENNEL” | cds_f1_kennel | 10 pts | IMPROVISED GUN TRUCK | ebon_forest
CdS-F2 “AURORA” | cds_f2_aurora | 30 pts | ROCKET TRUCK | ebon_forest
CHAR 30 “VELDJEN” | char_30_veldjen | 20 pts | MEDIUM TANK | ebon_forest
CHASSEURS | chasseurs | 10 pts | LINE SQUAD | ebon_forest
COMPANY CHIEF | company_chief | 0 pts | COMMAND TEAM | ebon_forest
DAG-16 “Cherry” | dag_16_cherry | 15 pts | UNKNOWN | ebon_forest
DAG-8 “BLOSSOM” | dag_8_blossom | 15 pts | UNKNOWN | ebon_forest
GUIDED MISSILE TEAM | guided_missile_team | 20 pts | ANTI-TANK/AIR TEAM | ebon_forest
HAR 38 “BORVO” | har_38_borvo | 40 pts | MAIN BATTLE TANK | ebon_forest
HIMA TEAM | hima_team | 15 pts | ANTI-PERSONNEL/TANK TEAM | ebon_forest
INTERNAL SECURITY | internal_security | 20 pts | ELITE SHOCK SQUAD | ebon_forest
INTERNAL SECURITY ESCORT | internal_security_escort | 15 pts | COMMAND SHOCK SQUAD | ebon_forest
IRONPELTS | ironpelts | 15 pts | PARATROOPER SQUAD | ebon_forest
MACHINE GUN TEAM | machine_gun_team_aef | 10 pts | ANTI-PERSONNEL/MATERIEL TEAM | ebon_forest
MADE-TO-ORDERS | made_to_orders | 10 pts | BERSERKER SQUAD | ebon_forest
